Player,Season,Grade,Games,Innings,Runs,NO,HS,Avg,Wickets,Overs,Runs Conceded,Bowl Avg,Catches,Stumpings,Notes
B J Langston,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #130, debut 1958/59"
B J Leckie,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #351, debut 2003/04"
B J Tyson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #269, debut 1983/84"
B Jamieson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #262, debut 1981/82"
B King,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #25, debut 1939/40"
B L Bowley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #140, debut 1959/60"
B L Matheson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #308, debut 1993/94"
B L Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #109, debut 1954/55"
B L Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #393, debut 2011/12"
B M Siebert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #409, debut 2015/16"
B P Haynes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #342, debut 2001/02"
B R W Magill,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #358, debut 2003/04"
B S Staniford,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #375, debut 2006/07"
B Schultz,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #21, debut 1939/40"
B Stewart-Tonkin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #461, debut 2023/24"
B T Schiller,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #370, debut 2005/06"
B W Colborne,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #272, debut 1983/84"
B W Curtin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #282, debut 1987/88"
B W Meredith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #343, debut 2002/03"
Brown,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
Bullock,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
C A Kitto,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #14, debut 1938/39"
C Cocks,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
C Duance,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #13, debut 1938/39"
C G Pike,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #70, debut 1946/47"
C Griggs,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #88, debut 1950/51"
C Hockley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #66, debut 1945/46"
C I Ansell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #320, debut 1996/97"
C J Heap,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #357, debut 2003/04"
C J Robottom,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #368, debut 2005/06"
C J Tucker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #418, debut 2016/17"
C M Dawson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #396, debut 2012/13"
C M Underwood,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #333, debut 2000/01"
C Mathews,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #67, debut 1945/46"
C Metson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #275, debut 1985/86"
C Morton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #228, debut 1974/75"
