Player,Season,Grade,Games,Innings,Runs,NO,HS,Avg,Wickets,Overs,Runs Conceded,Bowl Avg,Catches,Stumpings,Notes
J V Manuell,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
J W Plummer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #206, debut 1969/70"
J W Stagg,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #326, debut 1997/98"
J Wickham,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #18, debut 1938/39"
J Y Boerema,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #356, debut 2003/04"
JM Bowes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #458, debut 2021/22"
JSH Bickle,Prior Seasons & Adjustments,,,,,,,,880,3922.5,9798,11.13,,,
JW Stagg,Prior Seasons & Adjustments,,309,362,8544,25,159,25.35,,,,,,,
JY Boerema,Prior Seasons & Adjustments,,,,,,,,,,,,156,44,
K Cambrell,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
K Draysey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #19, debut 1939/40"
K E Edwardes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #39, debut 1941/42"
K E Woodcock,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #38, debut 1941/42"
K G Lees,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #175, debut 1964/65"
K G Plummer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #103, debut 1952/53"
K Goulter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #181, debut 1965/66"
K H Elliott,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #106, debut 1953/54"
K I McNamara,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #119, debut 1956/57"
K J Duke,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #5, debut 1932/33"
K J Francis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #123, debut 1957/58"
K J Widdows,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #223, debut 1973/74"
K Johnson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #253, debut 1978/79"
K King,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #45, debut 1941/42"
K L Berndt,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #110, debut 1954/55"
K L Hobbs,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #71, debut 1946/47"
K O'Loughlin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #52, debut 1942/43"
K Perryman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #131, debut 1958/59"
K S Wyles,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #361, debut 2004/05"
K W Davies,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #402, debut 2013/14"
K W Hockley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #182, debut 1967/68"
KA Mirza,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #454, debut 2021/22"
KG Lees,Prior Seasons & Adjustments,,292,327,5636,69,99,21.85,,,,,,,
KJ Duke,Prior Seasons & Adjustments,,370,466,8034,49,161,19.27,485,2341.0,8946,18.45,,,
KL McLean,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #278, debut 1986/87"
L A Foster,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #389, debut 2011/12"
L A Harrington,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #384, debut 2009/10"
L A Humphreys,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #271, debut 1983/84"
L A Walkley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #117, debut 1956/57"
L B Fischer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #31, debut 1940/41"
L Barrett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #43, debut 1941/42"
L C Foster,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #234, debut 1975/76"
L Dean,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #219, debut 1972/73"
L Di Venuto,Prior Seasons & Adjustments,,,,,,,,,,,,146,40,
L F Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #349, debut 2002/03"
L Fiegert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #63, debut 1945/46"
L Hargrave,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #37, debut 1941/42"
L J Kempster,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #145, debut 1960/61"
L J Lambert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #85, debut 1948/49"
L M Durdin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #420, debut 2016/17"
L M Scicluna,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #400, debut 2012/13"
L Martin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #95, debut 1950/51"
L O Evans,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #407, debut 2015/16"
L Philcox,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #10, debut 1932/33"
L R Jenings,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #442, debut 2019/20"
L Raymond,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #198, debut 1969/70"
L S Roberts,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #424, debut 2017/18"
L V Devine,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #397, debut 2012/13"
L W Brown,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #128, debut 1958/59"
L W Pengilly,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #115, debut 1955/56"
LJ Jacobs,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #448, debut 2019/20"
M A Fenwick,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #338, debut 2000/01"
M A Weatherald,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #248, debut 1977/78"
M B Hughes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #433, debut 2018/19"
M Barr,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #61, debut 1945/46"
M Boffa,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #258, debut 1980/81"
M Butler,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #167, debut 1963/64"
M C Zerner,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #386, debut 2009/10"
M D Bevan,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #307, debut 1993/94"
M D Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #77, debut 1947/48"
M Doherty,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #270, debut 1983/84"
M F Ewens,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #78, debut 1947/48"
M Fish,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #135, debut 1958/59"
M J Barber,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #331, debut 1999/00"
M J Brister,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #439, debut 2018/19"
M J Cross,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #152, debut 1962/63"
M J Marrett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #264, debut 1982/83"
M J McKern,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #346, debut 2002/03"
M J O'Shea,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #292, debut 1990/91"
M J Perryman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #107, debut 1954/55"
M Johnson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #57, debut 1944/45"
M L George,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #350, debut 2002/03"
M McGill,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #68, debut 1945/46"
M Ninnes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #156, debut 1962/63"
M P Nye,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #394, debut 2011/12"
M P Selvanera,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #280, debut 1986/87"
M P Steadman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #329, debut 1998/99"
M Player,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
M S Dalton,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1989/90
M S Henriksen,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #410, debut 2015/16"
M Sharma,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #463, debut 2023/24"
M Sheikh,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #377, debut 2007/08"
M Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
M T Baker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #369, debut 2005/06"
M T Panditaratne,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #443, debut 2019/20"
M Whitford,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #208, debut 1970/71"
MJ Barber,Prior Seasons & Adjustments,,,,,,,,429,2270.0,6705,15.63,,,
Mark Bradshaw,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #295, debut 1990/91"
McCabe,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1942/43
N G Clark,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #339, debut 2001/02"
N J Ford,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #285, debut 1988/89"
N J Jolly,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #376, debut 2006/07"
N J Mosey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #352, debut 2003/04"
N J Petrus,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #354, debut 2003/04"
N Martin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #303, debut 1992/93"
N P Zachat,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #336, debut 2000/01"
N T Patten,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #16, debut 1938/39"
P A Oliver,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #213, debut 1971/72"
P A Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #348, debut 2002/03"
P Bond,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #233, debut 1975/76"
P C Battersby,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #179, debut 1965/66"
P C Roberts,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #86, debut 1949/50"
P Carter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #60, debut 1944/45"
P Caschel,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #27, debut 1939/40"
P D Curtin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #281, debut 1987/88"
P D Rebbeck,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #247, debut 1977/78"
P Grimes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #203, debut 1969/70"
P Hann,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
P Herbert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #153, debut 1962/63"
P J Mander,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #215, debut 1972/73"
P J Raymond,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #273, debut 1984/85"
P J Richardson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #380, debut 2007/08"
P J Whitcomb,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #378, debut 2007/08"
P J Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #227, debut 1974/75"
P L Allegretto,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #391, debut 2011/12"
P M Baker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #312, debut 1995/96"
P M Hynd,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #244, debut 1976/77"
P M Judd,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #298, debut 1991/92"
P Neumann,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #102, debut 1952/53"
P Norman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #197, debut 1969/70"
P Parry,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #200, debut 1969/70"
P Q Hoffmann,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #266, debut 1982/83"
PJ Golding,Prior Seasons & Adjustments,,,,,,,,,,,,108,23,
PJ Raymond,Prior Seasons & Adjustments,,258,296,6752,34,124,25.77,,,,,,,
R A Linke,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #80, debut 1948/49"
R B Rutter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #108, debut 1954/55"
R Baltutis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #423, debut 2017/18"
R Batusic,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #301, debut 1991/92"
R Claessen,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #169, debut 1963/64"
R Cook,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #3, debut 1932/33"
R Dudley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #171, debut 1963/64"
R Eather,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #50, debut 1942/43"
R Edwards,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #166, debut 1963/64"
R Fidock,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #217, debut 1972/73"
R G Chenoweth,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #245, debut 1977/78"
R G Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #401, debut 2012/13"
R G Walsh,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #267, debut 1982/83"
R Gupta,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #427, debut 2017/18"
R H J Westley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #366, debut 2004/05"
R Hughes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #294, debut 1990/91"
R J French,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #149, debut 1961/62"
R J Graefe,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #165, debut 1963/64"
R J Stratfold,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #222, debut 1973/74"
R J Wilton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #268, debut 1982/83"
R K Saunders,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #243, debut 1976/77"
R Keen,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #189, debut 1967/68"
R L Day,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #291, debut 1990/91"
R L Potter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #127, debut 1957/58"
R Lawrence,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #34, debut 1940/41"
R Liebich,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #118, debut 1956/57"
R Mead,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #168, debut 1963/64"
R Miller,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #162, debut 1962/63"
R O'Brien,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #211, debut 1971/72"
R O'Loughlin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #51, debut 1942/43"
R R Parham,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #186, debut 1967/68"
R Rowe,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #178, debut 1964/65"
R S Dinan,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #191, debut 1968/69"
R Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #12, debut 1932/33"
R Sparrow,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #147, debut 1960/61"
R W Edyvean,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #79, debut 1948/49"
R W Hodder,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #254, debut 1979/80"
R W Morbey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #41, debut 1941/42"
R W Rutter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #170, debut 1963/64"
R Warhurst,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #23, debut 1939/40"
R Whenan,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #184, debut 1967/68"
R Wright,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #62, debut 1945/46"
R X Davey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #383, debut 2009/10"
RA Fraser,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #277, debut 1986/87"
RI Dew,Prior Seasons & Adjustments,,,,,,,,,,,,139,66,"1st XI cap #259, debut 1981/82"
RJ Husler,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #456, debut 2021/22"
Redman,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
S Alam,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #460, debut 2022/23"
S Ali,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #462, debut 2023/24"
S Battams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #226, debut 1974/75"
S C Colley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #416, debut 2016/17"
S D Heeps,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #287, debut 1989/90"
S D Hunter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #379, debut 2007/08"
S Davis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #185, debut 1967/68"
S Dixey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #318, debut 1996/97"
S Fielke,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #126, debut 1957/58"
S Gallagher,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #48, debut 1942/43"
S J Corcoran,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #310, debut 1994/95"
S J Faulkner,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #241, debut 1976/77"
S J Redin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #444, debut 2019/20"
S Kanolkar,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #417, debut 2016/17"
S Karnawat,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #453, debut 2021/22"
S L Slape,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #365, debut 2004/05"
S M Ellicott,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #374, debut 2006/07"
S M Freimayer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #419, debut 2016/17"
S M Wasley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #360, debut 2004/05"
S Marotti,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #395, debut 2011/12"
S N Jones,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #240, debut 1976/77"
S P Crook,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #406, debut 2014/15"
S Peach,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #334, debut 2000/01"
S Qadri,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #459, debut 2021/22"
S Rojko,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #340, debut 2001/02"
S S Athurugiri,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #421, debut 2016/17"
S Snater,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #411, debut 2015/16"
S Turner,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
S W Sykes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #232, debut 1975/76"
SD Heeps,Prior Seasons & Adjustments,,271,282,7141,35,138,28.91,,,,,,,
SJ Corcoran,Prior Seasons & Adjustments,,,,,,,,,,,,127,9,
SJ Faulkner,Prior Seasons & Adjustments,,288,313,5900,35,129,21.22,,,,,150,28,
SW Lucas,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #449, debut 2020/21"
T A Goodwin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #315, debut 1995/96"
T C Wilton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #363, debut 2004/05"
T H Pregden,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #426, debut 2017/18"
T Hall,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #220, debut 1972/73"
T Herbert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #144, debut 1959/60"
T J Evans,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #373, debut 2005/06"
T Jones,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #154, debut 1962/63"
T M Goodwin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #251, debut 1978/79"
T S Rex,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #415, debut 2016/17"
T Stappard,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #17, debut 1938/39"
T W Colley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #437, debut 2018/19"
T Watt,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #96, debut 1951/52"
V Lakshmin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #445, debut 2019/20"
V Vishnoi,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #457, debut 2021/22"
VW Wilkinson,Prior Seasons & Adjustments,,,,,,,,553,1836.0,6473,11.71,,,
W A Margitich,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #290, debut 1989/90"
W B Thyer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #143, debut 1959/60"
W B Warburton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #97, debut 1951/52"
W Baskett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #124, debut 1957/58"
W Baum,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #188, debut 1967/68"
W Blucher,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #2, debut 1932/33"
W Foster,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #221, debut 1972/73"
W H Toy,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #22, debut 1939/40"
W Hutchinson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #163, debut 1962/63"
W J Bakewell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #435, debut 2018/19"
W J M Ewing,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #104, debut 1953/54"
W J Rutter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #136, debut 1958/59"
W Johnson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #7, debut 1932/33"
W M Blanden,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #32, debut 1940/41"
W R Quintrell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #114, debut 1955/56"
W Waterhouse,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #242, debut 1976/77"
W Welch,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #212, debut 1971/72"
W Wyatt,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #238, debut 1976/77"
Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
Woolidge,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1942/43
Wright,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
Z Wrobel,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #158, debut 1962/63"
