player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
Gary Milich,Summer 2020/21,,6,5,2,13,57,1,,10,22,1,102,2,,,1-20
Gary Milich,Summer 2021/22,,1,1,,,1,,,,,,,,,,
Gary Milich,Summer 2022/23,,3,3,2,15,49,1,,7*,3,,18,,,,0-6
Gavin Huf,Summer 2020/21,,2,2,,19,43,2,,14,7,,32,,,,0-7
Gavin Huf,Summer 2021/22,,4,4,3,49,83,2,,19,13,1,51,3,1,,2-10
Gavin Kearney,Summer 2019/20,,2,2,2,32,50,2,,19*,4,2,5,1,1,,1-5
Gavin Kearney,Summer 2020/21,,8,7,4,116,156,11,,35,34.4,7,89,9,1,,3-14
Gavin Kearney,Summer 2021/22,,11,8,3,66,118,5,,26,35,3,107,4,,,1-3
Gavin Kearney,Summer 2022/23,,1,1,,18,22,4,,18,2,,9,,1,,0-9
Gavin Kearney,Summer 2023/24,,7,7,4,117,159,15,,38,24,5,64,5,,,3-9
Gavin Kearney,Summer 2024/25,,9,7,4,137,197,12,,28,21.2,2,59,4,,,3-11
Geoff Barker,Summer 2011/12,,1,,,,,,,,,,,,,,
Geoff Barker,Summer 2015/16,,1,,,,,,,,,,,,,,
Geoff Barker,Summer 2016/17,,11,10,6,227,210,23,1,41,40.5,8,111,9,1,2,2-6
Geoff Barker,Summer 2017/18,,1,,,,,,,,,,,,,,
Geoff Barker,Summer 2018/19,,6,6,4,144,122,19,2,42,34,6,89,5,6,,2-28
Geoff Barker,Summer 2019/20,,14,14,11,304,302,27,1,39*,62,15,187,14,1,,2-3
Geoff Barker,Summer 2020/21,,5,5,4,149,148,16,1,41,21,1,63,4,4,,2-24
Geoff Barker,Summer 2021/22,,10,10,6,176,190,18,,42,42,4,132,11,5,2,3-25
Geoff Barker,Summer 2022/23,,7,7,5,183,202,25,,40*,44,5,149,9,,,3-27
Geoff Barker,Summer 2023/24,,9,8,7,203,209,24,,43*,23,4,87,2,,,1-10
Geoff Barker,Summer 2024/25,,13,13,9,263,312,22,,40*,63,10,172,15,5,1,4-14
Graeme Patterson,Summer 2012/13,,1,,,,,,,,,,,,,,
Graham Freshwater,Summer 2017/18,,1,,,,,,,,,,,,,,
Graham Freshwater,Summer 2019/20,,4,,,,,,,,,,,,,,
Greg McAdam,Summer 2013/14,,2,,,,,,,,,,,,,,
Greg McAdam,Summer 2015/16,,1,,,,,,,,,,,,,,
Greg McAdam,Summer 2016/17,,5,5,1,51,78,3,,19,,,,,,,
Greg McAdam,Summer 2017/18,,1,,,,,,,,,,,,,,
Greg McAdam,Summer 2018/19,,2,2,1,24,68,1,,19*,,,,,,,
Greg McAdam,Summer 2019/20,,6,6,2,43,83,5,,11,,,,,,,
Greg Williams,Summer 2024/25,,1,1,1,39,28,4,2,39*,5,2,7,1,,,1-7
Heaton Jarrad,Summer 2019/20,,1,1,1,13,25,2,,13*,2,,7,,,,0-7
Heaton Jarrad,Summer 2020/21,,9,8,6,80,203,10,,17,38,1,180,9,,,3-28
Heaton Jarrad,Summer 2021/22,,4,4,1,13,23,,,5,14,2,43,1,,,1-7
Heaton Jarrad,Summer 2022/23,,5,5,2,20,57,,,12,24,2,99,1,2,,1-27
Heaton Jarrad,Summer 2023/24,,3,2,1,10,35,1,,10,9,,42,1,,,1-30
Heaton Jarrad,Summer 2024/25,,9,8,2,16,69,,,8,43.1,5,181,8,1,,3-17
Howard Templeton,Summer 2012/13,,1,,,,,,,,,,,,,,
Ian Sanderson,Summer 2012/13,,3,,,,,,,,,,,,,,
J McGrath,Summer 2010/11,,1,,,,,,,,,,,,,,
J Tonkin,Summer 2016/17,,,4,3,51,91,2,,23*,,,,,,,
Jim Jenkinson,Summer 2013/14,,1,,,,,,,,,,,,,,
Jim Jenkinson,Summer 2015/16,,1,,,,,,,,,,,,,,
Jim Jenkinson,Summer 2016/17,,10,9,5,90,201,12,,21,2,,5,1,,,1-5
