player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
John Caulfield,Summer 2016/17,,1,1,1,11,25,,,11*,1,,4,,1,,0-4
John Caulfield,Summer 2020/21,,1,1,,6,12,1,,6,4,,20,,,,0-20
John Caulfield,Summer 2022/23,,1,,,,,,,,,,,,,,
John Caulfield,Summer 2023/24,,,1,,,1,,,,2,,27,,,,0-27
John Penhall,Summer 2021/22,,1,1,,4,12,,,4,2,,6,1,,,1-6
John Porteous,Summer 2024/25,,1,1,1,5,20,,,5*,,,,,,,
John Williams,Summer 2023/24,,2,2,1,24,46,1,,16,3,,14,1,,,
Kevin Smith,Summer 2024/25,,1,1,,2,10,,,2,4,,11,1,,1,1-11
P Robinson,Summer 2018/19,,1,1,,12,9,1,,12,,,,,,,
Peter Franklin,Summer 2015/16,,2,,,,,,,,,,,,,,
Peter Franklin,Summer 2016/17,,11,10,6,210,234,25,1,34,49,,209,11,3,2,3-32
Peter Franklin,Summer 2017/18,,1,,,,,,,,,,,,,,
Peter LeLievre,Summer 2019/20,,9,9,6,224,229,28,,43*,10,4,30,2,,,2-2
Peter LeLievre,Summer 2020/21,,1,1,1,16,25,,,16*,,,,,,,
Peter LeLievre,Summer 2021/22,,3,3,1,46,84,4,,18,,,,,,,
Peter LeLievre,Summer 2022/23,,4,4,3,137,124,19,2,43,,,,,,,
Peter LeLievre,Summer 2023/24,,3,3,2,61,64,11,,28,,,,,,,
Peter Willoughby,Summer 2024/25,,2,,,,,,,,5,,35,,,,0-14
Phil Dickson,Summer 2020/21,,,1,1,1,3,,,1*,3,,20,,,1,0-20
Phil Hickleton,Summer 2022/23,,1,1,,15,21,2,,15,8,2,25,,,,0-25
Phil Hickleton,Summer 2023/24,,3,3,2,27,42,2,,14,14,4,32,2,,,
R Lee,Summer 2016/17,,1,1,,6,5,1,,6*,3,1,7,,,,0-7
Robin Rogers,Summer 2024/25,,1,1,,,5,,,,,,,,,,
Ron Jennings,Summer 2023/24,,1,1,,27,24,6,,27,4,1,7,1,,,1-7
S Attrill,Summer 2019/20,,1,1,1,,8,,,,,,,,,,
Shane Noonan,Summer 2022/23,,1,1,,1,17,81,3,17,3,,16,1,6,,1-16
Stephen Bell,Summer 2013/14,,2,,,,,,,,,,,,,,
Stephen Bell,Summer 2019/20,,2,2,1,44,51,7,,40,,,,,,,
